/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_1.jpeg,᮱
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_2.jpeg,᮱
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_3.jpeg,᮱
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_4.jpeg,᮱
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_5.jpeg,᮱
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_6.jpeg,᮱
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_7.jpeg,᮱
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_8.jpeg,᮱
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_9.jpeg,᮲
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_10.jpeg,᮲
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_11.jpeg,᮲
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_12.jpeg,᮲
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_13.jpeg,᮲
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_14.jpeg,᮲
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_15.jpeg,᮲
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_16.jpeg,᮲
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_17.jpeg,᮳
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_18.jpeg,᮳
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_19.jpeg,᮳
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_20.jpeg,᮳
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_21.jpeg,᮳
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_22.jpeg,᮳
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_23.jpeg,᮳
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_24.jpeg,᮳
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_25.jpeg,᮴
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_26.jpeg,᮴
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_27.jpeg,᮴
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_28.jpeg,᮴
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_29.jpeg,᮴
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_30.jpeg,᮴
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_31.jpeg,᮴
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_32.jpeg,᮴
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_33.jpeg,᮵
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_34.jpeg,᮵
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_35.jpeg,᮵
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_36.jpeg,᮵
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_37.jpeg,᮵
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_38.jpeg,᮵
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_39.jpeg,᮵
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_40.jpeg,᮵
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_41.jpeg,᮶
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_42.jpeg,᮶
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_43.jpeg,᮶
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_44.jpeg,᮶
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_45.jpeg,᮶
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_46.jpeg,᮶
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_47.jpeg,᮶
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_48.jpeg,᮶
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_49.jpeg,᮷
/Users/hamzhya/Documents/kuliah/smt 6/TUGAS AKHIR/Implementasi/Tensorflow/tools/../image-data/sundanese-images/hangul_50.jpeg,᮷
